[-6.225413264760408e-06, array([6.60169898e-06]), array([9.12071597e-06])]
[-6.282477882019191e-06, array([6.62522052e-06]), array([9.12882041e-06])]
[-6.327575708221444e-06, array([6.64380946e-06]), array([9.1352253e-06])]
[-6.3666887873433995e-06, array([6.67921498e-06]), array([9.14246503e-06])]
[-6.404853206548694e-06, array([6.72232652e-06]), array([9.16546225e-06])]
[-6.445775329851147e-06, array([6.74189344e-06]), array([9.21164075e-06])]
[-6.487469773833678e-06, array([6.75676085e-06]), array([9.25505196e-06])]
[-6.544323864845001e-06, array([6.7770339e-06]), array([9.31424702e-06])]
[-6.5579091374644205e-06, array([6.82525058e-06]), array([9.37798585e-06])]
[-6.565615535236308e-06, array([6.88374777e-06]), array([9.39849898e-06])]
[-6.571769736891986e-06, array([6.92157649e-06]), array([9.41488042e-06])]
[-6.5838393171475605e-06, array([6.95452993e-06]), array([9.44700761e-06])]
[-6.596221790802748e-06, array([6.95887709e-06]), array([9.48335886e-06])]
[-6.605431306704631e-06, array([6.98842601e-06]), array([9.52827847e-06])]
[-6.6109113212485885e-06, array([7.00600874e-06]), array([9.55500736e-06])]
[-6.667087308954579e-06, array([7.05263599e-06]), array([9.56025559e-06])]
[-6.6884955987323675e-06, array([7.09226412e-06]), array([9.60258652e-06])]
[-6.711452633426659e-06, array([7.13475908e-06]), array([9.64797982e-06])]
[-6.7308571584335945e-06, array([7.15332387e-06]), array([9.67991813e-06])]
[-6.764727991615644e-06, array([7.18572893e-06]), array([9.71980907e-06])]
[-6.78460578097672e-06, array([7.22130672e-06]), array([9.73926916e-06])]
[-6.823727830942076e-06, array([7.25312109e-06]), array([9.77057925e-06])]
[-6.880519627462791e-06, array([7.25626541e-06]), array([9.79412251e-06])]
[-6.920896518344273e-06, array([7.2585009e-06]), array([9.82996066e-06])]
[-7.001681959229185e-06, array([7.27537171e-06]), array([9.90166506e-06])]
[-7.0335887709395124e-06, array([7.28203496e-06]), array([9.90678731e-06])]
[-7.1385275294710364e-06, array([7.28283362e-06]), array([9.92363397e-06])]
[-7.153056024109179e-06, array([7.28312431e-06]), array([9.92976569e-06])]
